iter	Logloss
0	0.6803158787
1	0.6690959486
2	0.6574387636
3	0.6467061564
4	0.6358452458
5	0.6256585107
6	0.6164923051
7	0.607564143
8	0.5992874262
9	0.5911724987
10	0.5827762943
11	0.575179776
12	0.5685780619
13	0.5619536629
14	0.5557129861
15	0.5495507914
16	0.5443927696
17	0.5391167631
18	0.5345664286
19	0.5291156182
20	0.5242890695
21	0.5199014782
22	0.5158468681
23	0.5115332036
24	0.5075920514
25	0.5043161015
26	0.5005299949
27	0.4967102157
28	0.4929091112
29	0.4893182384
30	0.4866558268
31	0.4835782828
32	0.4806218347
33	0.4776157425
34	0.4750199906
35	0.4724385288
36	0.4693738094
37	0.4666812068
38	0.4643970812
39	0.4622064572
40	0.4600777713
41	0.4575945528
42	0.4556638257
43	0.4537207931
44	0.4520064501
45	0.4502221115
46	0.4486961762
47	0.4471636896
48	0.4456317312
49	0.4439424893
50	0.442477162
51	0.4410218754
52	0.4396601993
53	0.4383948406
54	0.4367219953
55	0.4355731351
56	0.4343163847
57	0.4330511689
58	0.4315845364
59	0.4304484113
60	0.4293441967
61	0.4282869045
62	0.4274046527
63	0.425951587
64	0.4249074587
65	0.4242637109
66	0.4233335587
67	0.4223738245
68	0.4213834055
69	0.4202287584
70	0.4191697935
71	0.4183068964
72	0.4175717575
73	0.4164654777
74	0.415688777
75	0.4149079924
76	0.4139720382
77	0.4131053389
78	0.4123548539
79	0.4115070803
80	0.4103018635
81	0.409593479
82	0.4085530293
83	0.4077925267
84	0.407075192
85	0.4063814265
86	0.4058049413
87	0.4051383556
88	0.4043522057
89	0.4038188468
90	0.4027509895
91	0.4016249628
92	0.4006204699
93	0.4001408146
94	0.3994142755
95	0.3987712762
96	0.3982501413
97	0.3976074747
98	0.3967535962
99	0.3961337282
100	0.3954424147
101	0.3948559171
102	0.3943339543
103	0.3936211977
104	0.3929278644
105	0.3923753348
106	0.3919917133
107	0.3914749065
108	0.3907496937
109	0.3899391996
110	0.3892790588
111	0.3887260299
112	0.388079812
113	0.3875692371
114	0.3871552028
115	0.3865518273
116	0.3859813454
117	0.3856445442
118	0.3848595005
119	0.3842012553
120	0.3837192767
121	0.3831742379
122	0.3824665136
123	0.3817574579
124	0.3813550979
125	0.3809534649
126	0.3804049467
127	0.379648262
128	0.3792796493
129	0.3787367749
130	0.3783135169
131	0.3777102891
132	0.376959905
133	0.3762491456
134	0.3758033871
135	0.3754281774
136	0.374894972
137	0.3745845185
138	0.3740515285
139	0.3735038775
140	0.3728816095
141	0.3725641234
142	0.3719630589
143	0.3713055133
144	0.3709427882
145	0.3704636942
146	0.3700092863
147	0.3693768882
148	0.3687839435
149	0.3683420493
150	0.3676778256
151	0.3668220232
152	0.3663851455
153	0.3656561863
154	0.3650575824
155	0.3647353363
156	0.3643994024
157	0.3639697995
158	0.3635811572
159	0.3631628044
160	0.3629484823
161	0.3624383027
162	0.3617195836
163	0.3612389038
164	0.3608077612
165	0.3604182536
166	0.3600858724
167	0.3593637674
168	0.3588386941
169	0.3584735683
170	0.3579171259
171	0.3576020802
172	0.3572908422
173	0.3568796897
174	0.3563626814
175	0.3558792188
176	0.3553923636
177	0.3550459341
178	0.3547554829
179	0.3542829498
180	0.3539290389
181	0.3535211099
182	0.3528830857
183	0.35240403
184	0.3518892272
185	0.3514026895
186	0.350880012
187	0.3504837158
188	0.3501154181
189	0.3496585482
190	0.3492112235
191	0.3488069498
192	0.3483537501
193	0.3481708913
194	0.3477606108
195	0.3476327848
196	0.3472845103
197	0.3470062196
198	0.3467114607
199	0.3465936684
200	0.3462804568
201	0.3458173053
202	0.3453471679
203	0.3449282309
204	0.3442292712
205	0.3437742187
206	0.3435224799
207	0.3431904874
208	0.3428038912
209	0.3423574511
210	0.3418144402
211	0.3413947292
212	0.3409968596
213	0.3407081635
214	0.3404368764
215	0.3399601098
216	0.3394824459
217	0.3391758822
218	0.3386958356
219	0.3382830356
220	0.3380095563
221	0.3378233694
222	0.3374406224
223	0.3367436461
224	0.3365727967
225	0.3361047547
226	0.3357927926
227	0.3354887497
228	0.3351258275
229	0.3348399292
230	0.3346300911
231	0.3344243187
232	0.3342220728
233	0.3339161136
234	0.3334941742
235	0.3330781778
236	0.332757468
237	0.3321096411
238	0.3317238952
239	0.3314777484
240	0.3308757988
241	0.3307218159
242	0.330508968
243	0.3301990262
244	0.3300759275
245	0.3297106508
246	0.3294927124
247	0.3289865825
248	0.3286579428
249	0.3282237036
250	0.3279173901
251	0.3275105706
252	0.3271057421
253	0.326747031
254	0.3264282202
255	0.3258203663
256	0.3254217169
257	0.3251523595
258	0.324648291
259	0.3243418783
260	0.3240764879
261	0.3237354402
262	0.3232378278
263	0.322946793
264	0.3228365722
265	0.3223259341
266	0.3219098226
267	0.3217140247
268	0.3214064695
269	0.321128141
270	0.3208499705
271	0.3205209398
272	0.320206007
273	0.3198475887
274	0.3194887652
275	0.3188806262
276	0.3185149723
277	0.3182282762
278	0.3180788782
279	0.3178576
280	0.3174405115
281	0.3169870037
282	0.316721342
283	0.3163879924
284	0.3160928277
285	0.3158912538
286	0.3154483561
287	0.3151130943
288	0.3145885627
289	0.3144410033
290	0.3142799869
291	0.3138485612
292	0.3135682353
293	0.3131930423
294	0.3127645628
295	0.3124012811
296	0.3123042572
297	0.3119650793
298	0.3117800569
299	0.3116112745
300	0.3112465398
301	0.3111081766
302	0.3107417857
303	0.3105306336
304	0.3101589791
305	0.3098637345
306	0.3094413781
307	0.3091025086
308	0.3087541833
309	0.308567635
310	0.3081742398
311	0.3079127067
312	0.3074089828
313	0.3070837912
314	0.3068955599
315	0.3063277839
316	0.3058972244
317	0.3055045251
318	0.3051517264
319	0.3049411036
320	0.304727051
321	0.3043671329
322	0.3041254327
323	0.3037235038
324	0.3032898339
325	0.3030651466
326	0.3027268635
327	0.3023115442
328	0.3018295165
329	0.3014272835
330	0.3010135657
331	0.3007412946
332	0.3004503184
333	0.3002144521
334	0.2998793905
335	0.299509898
336	0.2990434461
337	0.2988984314
338	0.2985992339
339	0.2983543309
340	0.2977916711
341	0.2973915977
342	0.2971578802
343	0.2970118028
344	0.2964837352
345	0.2962221448
346	0.2958616526
347	0.2956892176
348	0.2951986861
349	0.2949811043
350	0.2947909015
351	0.2944678106
352	0.2941934985
353	0.2938685079
354	0.2934082198
355	0.2930744509
356	0.2925360795
357	0.2920941262
358	0.2919299919
359	0.2916843767
360	0.291393588
361	0.2911437764
362	0.2907666226
363	0.2904783191
364	0.2903183044
365	0.289856988
366	0.2895578662
367	0.2893261323
368	0.2890558357
369	0.2887728142
370	0.2884476545
371	0.2881275756
372	0.2877159046
373	0.2873809031
374	0.2871070337
375	0.2868882532
376	0.2866339583
377	0.2863517867
378	0.2860532942
379	0.2855736898
380	0.2850608914
381	0.2847408339
382	0.2846618307
383	0.2844637945
384	0.2842417814
385	0.2837888319
386	0.2835534398
387	0.2832759886
388	0.2828906167
389	0.2824482554
390	0.2820159248
391	0.2817406599
392	0.2811514129
393	0.2810209005
394	0.2808161437
395	0.2803790984
396	0.2800952972
397	0.2799128379
398	0.2794553238
399	0.2790568377
400	0.2788888436
401	0.2785152652
402	0.2782086443
403	0.2777651047
404	0.2775470497
405	0.2774662207
406	0.2769175999
407	0.2765088202
408	0.2761919954
409	0.2759485238
410	0.2756503406
411	0.2753147396
412	0.2751044325
413	0.274883739
414	0.2746288621
415	0.2743599467
416	0.2739297941
417	0.2735134788
418	0.273032842
419	0.2728629749
420	0.2724813038
421	0.2720770543
422	0.2715971558
423	0.2713306694
424	0.2710367539
425	0.2707284382
426	0.2706081026
427	0.2704513537
428	0.2701456231
429	0.2698170053
430	0.269365427
431	0.2692325759
432	0.2690871136
433	0.2687979413
434	0.2684081017
435	0.2682705622
436	0.2679034223
437	0.2675751005
438	0.2672468307
439	0.266850243
440	0.2665913627
441	0.2663281375
442	0.2660987416
443	0.2655820566
444	0.2653480104
445	0.2651444225
446	0.2647413786
447	0.2643473838
448	0.2640822343
449	0.263912699
450	0.2636171354
451	0.2633427979
452	0.2629335923
453	0.2626845121
454	0.2623303933
455	0.2619895639
456	0.2617212599
457	0.2613823636
458	0.2610939893
459	0.2605086022
460	0.2602086112
461	0.2598036595
462	0.2592948947
463	0.2589836667
464	0.2586069497
465	0.2582147363
466	0.2579239225
467	0.2576943398
468	0.2576042386
469	0.2573979417
470	0.257115292
471	0.2569216141
472	0.2568269689
473	0.25662017
474	0.256260407
475	0.2560371177
476	0.2557176352
477	0.2553143358
478	0.2550521052
479	0.2547006433
480	0.2541395553
481	0.2539426713
482	0.2537202895
483	0.2535134326
484	0.2530944656
485	0.2527647607
486	0.2525003623
487	0.2521093198
488	0.2520123444
489	0.2518147501
490	0.251404711
491	0.2511206281
492	0.2508468847
493	0.2506042951
494	0.2503837161
495	0.2499192072
496	0.2495534711
497	0.2490982034
498	0.2487558381
499	0.2484122449
500	0.248023307
501	0.2477360326
502	0.2472923221
503	0.2469614598
504	0.2465647159
505	0.2461873799
506	0.2456663559
507	0.2454696631
508	0.2453724699
509	0.2448673935
510	0.2445227963
511	0.2442395332
512	0.243969356
513	0.2436621503
514	0.2434615245
515	0.2431894254
516	0.2427419411
517	0.2425383809
518	0.2420829549
519	0.2416783116
520	0.2412980089
521	0.2409325085
522	0.2404360465
523	0.2401114016
524	0.2396599799
525	0.2392897378
526	0.2390112842
527	0.2389304514
528	0.2386518317
529	0.2383933968
530	0.2381973066
531	0.2377820643
532	0.2374707984
533	0.2371993758
534	0.2368536682
535	0.2365822764
536	0.2362746721
537	0.2358901134
538	0.2357567443
539	0.235552831
540	0.2352934159
541	0.2350787637
542	0.2346224182
543	0.2341549518
544	0.2339103123
545	0.2336415566
546	0.2333424095
547	0.2332091351
548	0.2328780682
549	0.2325169535
550	0.2320609257
551	0.2316234654
552	0.2313186924
553	0.2308638702
554	0.2304887086
555	0.2302303209
556	0.2298142915
557	0.2294395007
558	0.2291274511
559	0.2287069963
560	0.2285489431
561	0.2281090224
562	0.227698662
563	0.2273257839
564	0.2270139124
565	0.2267505622
566	0.2263524602
567	0.2260549011
568	0.225748807
569	0.2255464074
570	0.2251647411
571	0.2251273413
572	0.2249990691
573	0.2246571378
574	0.224305726
575	0.2239960188
576	0.2237345056
577	0.2234655436
578	0.2230936125
579	0.2228929718
580	0.2225440801
581	0.2222567137
582	0.2219122757
583	0.2215580323
584	0.2211167901
585	0.2208649228
586	0.2205466809
587	0.2203515584
588	0.2201279714
589	0.2200418042
590	0.2197676668
591	0.2194530166
592	0.2192328944
593	0.2189629062
594	0.2185493073
595	0.218347788
596	0.2182656404
